pH_H2O,EC,P,N,K,Elev,OC,OC_log
6.97,30.5,14.3,2.2,542.3,215,22.1,3.139832617527748
4.82,8.36,14.5,2.1,93.9,0,26.6,3.3178157727231046
7.83,33.27,13.8,1.7,235.0,279,14.0,2.70805020110221
8.03,14.67,10.5,2.3,291.4,228,31.6,3.484312288372662
8.03,24.12,23.2,1.9,362.1,200,20.8,3.0819099697950434
7.89,17.07,17.1,1.3,299.7,175,13.7,2.6878474937846906
8.28,20.82,10.3,1.4,180.2,163,14.7,2.7536607123542622
7.84,49.13,22.2,2.5,568.3,190,23.2,3.186352633162641
7.23,27.6,15.9,2.1,79.3,156,25.3,3.269568939183719
8.1,16.24,16.6,1.6,161.7,158,15.9,2.8273136219290276
8.0,28.63,27.2,2.1,563.9,160,18.8,2.9856819377004897
5.09,48.4,36.8,6.4,253.7,1019,78.3,4.373238128640803
5.14,46.6,25.0,3.5,121.7,1198,52.3,3.975936331171799
5.61,26.7,11.2,3.5,89.5,771,50.2,3.9357395320454622
5.16,41.06,18.0,6.4,108.6,686,58.1,4.079230924412053
5.21,10.62,11.7,4.6,53.1,1150,61.1,4.128745988939433
4.54,24.6,24.7,6.1,145.9,1448,102.7,4.641502115235482
4.16,57.0,30.4,11.8,258.9,1455,236.0,5.4680601411351315
5.76,57.1,21.7,6.8,233.2,1042,113.1,4.73707525686803
5.69,8.52,23.1,4.2,97.9,935,62.6,4.152613470346076
7.1,33.8,10.0,5.6,96.8,639,52.3,3.975936331171799
6.66,64.6,26.9,12.1,120.1,1050,265.9,5.586874056410478
5.59,13.04,17.0,4.4,174.8,1144,43.7,3.7999735016195233
4.77,87.4,46.8,7.8,393.2,993,129.0,4.867534450455582
5.24,71.5,22.6,5.3,234.7,1154,97.5,4.590056548178043
5.4,42.0,66.3,18.0,344.6,894,313.3,5.750347943803522
5.97,42.14,12.6,5.8,131.3,1066,52.9,3.9871304779149512
4.29,22.7,29.5,4.9,112.4,1182,107.3,4.684905154006945
4.44,32.9,17.4,3.6,82.8,1301,44.6,3.8199077165203406
4.68,41.3,21.7,3.6,86.2,910,44.1,3.8088822465086327
3.96,12.67,27.5,8.2,139.1,1173,155.9,5.055608659738987
4.77,24.1,20.5,3.5,251.1,829,38.6,3.6788291182604347
6.28,8.8,12.3,2.1,114.5,542,19.1,3.0007198150650303
4.66,18.21,50.1,3.3,183.2,1017,26.8,3.3250360206965914
7.21,40.37,46.0,3.0,64.5,758,23.4,3.1945831322991562
6.2,32.5,17.1,3.2,78.8,562,27.8,3.3603753871419
4.66,5.36,50.0,0.8,30.5,1248,8.8,2.2823823856765264
5.14,5.87,11.0,1.5,61.3,517,16.2,2.8449093838194073
5.9,57.1,46.2,12.0,67.0,447,147.8,5.002603122398992
6.8,8.9,18.0,1.4,131.35,490,11.2,2.501435951739211
4.91,24.58,13.8,3.3,75.7,696,22.1,3.139832617527748
7.34,39.81,11.5,4.7,70.4,751,41.5,3.7495040759303713
5.04,46.2,11.7,3.4,176.9,636,40.4,3.7232808808312687
7.26,16.68,52.8,1.6,115.5,462,13.1,2.6461747973841225
7.79,37.0,10.7,3.2,105.0,606,54.0,4.007333185232471
5.52,13.05,21.4,4.6,146.3,1170,46.4,3.858622228701031
5.43,9.73,23.7,3.5,91.9,1132,31.0,3.4657359027997265
4.49,12.48,10.7,4.7,155.4,1311,108.7,4.697749367281185
4.32,20.3,13.3,5.8,145.7,1152,129.4,4.870606649492553
3.7,15.43,38.5,8.8,185.7,1490,192.1,5.263208189434469
4.22,14.47,42.1,8.7,214.7,1049,150.3,5.01926462079431
7.29,14.83,14.4,1.6,84.0,736,14.4,2.7343675094195836
7.17,41.58,331.1,2.2,704.5,520,22.1,3.139832617527748
4.53,10.24,24.5,5.3,136.2,11414,106.3,4.675628649636653
4.31,20.4,36.2,9.5,193.8,1344,211.9,5.360822571899434
4.67,24.66,20.3,4.7,259.8,1074,65.9,4.203198967134183
4.18,22.4,28.1,6.1,153.2,1161,120.7,4.801558999993482
4.61,19.69,11.9,46.5,57.8,1032,723.9,6.586033714306832
5.06,22.1,17.5,5.5,98.5,1496,101.2,4.626931677769604
4.58,40.1,39.4,8.6,137.4,1292,132.7,4.895598484107897
3.97,12.15,24.8,5.5,141.8,1350,104.5,4.658710952916121
4.34,15.16,25.8,6.2,132.9,1119,120.2,4.797442073635214
4.07,15.33,30.7,8.1,143.3,1331,145.5,4.987025428457122
6.07,40.62,16.0,3.9,48.8,818,31.2,3.4719664525503626
6.66,30.2,32.4,5.1,317.9,891,64.1,4.175924549214524
5.27,9.78,10.9,5.9,129.5,1091,95.2,4.566429357671661
7.19,46.06,11.1,5.7,64.9,709,52.7,3.983413001514819
4.46,17.42,16.8,3.9,109.2,1356,76.0,4.343805421853684
5.93,123.5,65.5,18.9,391.4,1630,343.2,5.841222883777439
3.97,27.28,124.5,9.4,140.8,1053,197.0,5.288267030694535
4.64,12.81,23.4,6.2,240.8,1328,123.8,4.826712455935327
4.07,50.3,73.9,11.7,238.2,1416,268.9,5.598051520023959
4.29,13.97,31.6,6.0,135.5,1357,112.4,4.730921391293652
4.11,28.0,36.8,18.5,372.0,1726,366.8,5.907539312170221
6.64,23.86,15.4,3.5,94.7,1121,32.5,3.5115454388310208
7.03,73.0,18.8,8.4,140.2,1193,85.1,4.455509411433685
5.0,59.87,88.6,4.8,223.1,1386,45.2,3.832979798087693
6.64,39.61,10.4,3.9,62.4,815,34.4,3.5667118201397288
3.85,19.48,18.8,12.7,282.8,1225,285.6,5.6580875153940715
4.89,39.8,58.5,9.3,217.3,1247,151.3,5.025852259901116
4.83,16.09,35.5,7.7,160.2,1464,126.2,4.845760650906022
4.31,37.2,117.8,17.2,434.6,1238,362.5,5.895779296973574
4.33,14.2,33.3,11.6,81.6,646,246.6,5.511814540810441
4.09,17.87,45.7,8.9,289.4,1162,186.3,5.2327116094500425
4.41,50.75,27.3,4.1,152.8,1002,40.4,3.7232808808312687
6.09,44.0,31.5,6.2,133.5,692,62.0,4.143134726391533
4.54,14.01,30.8,7.1,165.3,1236,147.5,5.000584958242754
4.18,13.03,20.2,6.9,115.1,1114,140.9,4.955122584165997
4.71,16.12,39.6,7.1,215.9,1073,104.8,4.661550519424199
5.19,37.0,12.4,3.9,145.2,1028,31.9,3.493472657771326
6.98,44.75,27.9,3.9,166.8,1011,42.2,3.765840495250065
4.81,33.18,27.9,4.3,83.9,880,37.1,3.6402142821326553
4.34,13.01,23.2,7.3,144.5,1251,126.5,4.848116364598481
4.28,18.02,23.0,11.6,184.3,790,197.9,5.292802185859927
4.35,29.2,54.0,7.7,156.7,1110,127.5,4.855928904335275
5.29,31.6,58.2,5.0,263.1,1186,51.6,3.9627161197436642
4.6,6.43,18.7,2.6,96.9,1600,40.0,3.713572066704308
4.95,26.75,37.3,5.9,189.9,1032,106.0,4.672828834461906
5.61,45.6,18.3,3.6,147.8,777,27.7,3.3568971227655755
4.46,7.12,20.9,3.5,127.8,953,61.9,4.141546163706395
5.04,33.95,12.9,3.5,58.6,710,29.3,3.4111477125153233
3.9,22.4,33.4,7.6,152.8,840,185.5,5.2284312390838705
4.83,7.4,11.3,4.8,95.8,708,70.6,4.2710950739666
4.49,22.6,44.9,9.6,293.5,1433,210.4,5.353752073436137
4.63,11.21,19.5,3.8,93.6,901,63.2,4.162003210695915
4.72,13.11,11.7,3.4,50.6,678,48.8,3.9080149840306073
4.17,52.3,58.0,11.2,200.9,1478,164.8,5.110782242701195
4.81,8.87,36.3,3.5,156.9,1185,65.2,4.192680462942962
6.25,74.29,35.3,6.5,580.1,721,52.1,3.9721769282478934
3.66,18.74,53.8,13.3,175.5,920,315.0,5.755742213586912
3.91,12.95,16.6,5.3,102.0,974,115.7,4.75960653929251
4.95,7.53,13.8,3.2,57.7,765,36.3,3.6189933266497696
4.23,15.07,30.9,5.9,148.3,1167,104.9,4.662495252607361
4.2,15.66,39.9,9.3,127.1,1290,164.0,5.10594547390058
5.36,28.26,26.8,4.0,192.6,959,34.1,3.55820113047182
7.09,40.6,14.3,6.7,68.5,681,81.4,4.411585436915426
5.12,25.24,29.7,2.9,70.5,509,32.0,3.4965075614664802
5.8,31.62,26.4,2.3,278.1,372,21.1,3.095577608523707
4.0,14.67,24.4,4.6,74.6,1073,77.5,4.363098624788363
5.71,28.15,11.6,4.2,249.6,416,43.3,3.7909846770510898
5.44,32.6,13.7,3.6,86.1,476,33.2,3.5322256440685598
5.03,29.0,12.4,2.5,353.9,391,38.8,3.6838669122903918
3.85,13.42,34.2,6.7,111.0,1101,106.3,4.675628649636653
4.05,22.2,19.9,3.2,97.3,496,43.8,3.8022081394209395
6.69,59.1,119.2,6.9,203.4,748,66.8,4.216562194946349
4.49,11.76,36.3,7.0,117.4,874,110.5,4.7140245909001735
4.01,12.09,29.0,9.3,159.7,999,171.0,5.147494476813453
6.74,45.5,11.0,5.1,76.2,1142,80.9,4.405498990859024
7.03,14.93,12.0,3.0,153.9,643,25.4,3.2733640101522705
4.27,9.96,16.3,4.8,58.6,785,74.8,4.328098292648326
3.88,24.0,36.0,5.6,91.9,1088,91.7,4.529368472571809
5.1,74.71,36.2,8.5,231.0,860,75.3,4.334672938290411
6.58,10.78,18.6,1.5,123.4,405,12.2,2.580216829592325
6.75,25.58,30.8,2.8,213.3,427,22.7,3.1654750481410856
5.96,25.38,10.7,3.6,31.5,1012,31.1,3.4688560301359703
5.76,51.97,30.5,5.5,151.7,864,47.5,3.8815637979434374
5.89,44.83,31.1,5.3,140.2,727,48.1,3.893859034800475
3.81,10.03,16.5,7.9,63.4,1080,174.9,5.169915651743512
6.89,96.5,19.9,13.2,145.4,1009,285.8,5.658785108725465
4.69,59.4,35.2,14.6,269.0,1105,336.4,5.821269170111868
6.34,29.04,33.4,3.5,106.7,768,31.6,3.484312288372662
5.58,40.32,20.0,3.7,75.0,667,34.0,3.5553480614894135
3.82,16.83,31.5,8.3,81.7,627,154.1,5.044070070182493
3.64,24.2,46.7,11.9,317.9,1167,289.3,5.670914871030584
6.31,11.76,19.5,1.5,185.9,325,15.1,2.7788192719904172
6.5,30.41,20.9,3.1,158.2,330,27.9,3.3638415951183864
6.4,52.75,34.4,3.8,131.0,619,36.1,3.6136169696133895
4.02,19.77,18.4,5.3,128.5,841,110.7,4.715816706075155
4.07,27.0,34.7,5.9,90.9,922,105.0,4.663439094112067
4.56,46.83,35.1,6.2,167.6,1096,58.9,4.092676505121403
7.27,79.46,24.1,7.7,113.2,970,70.9,4.275276264727001
5.94,19.54,18.9,3.3,137.9,681,55.1,4.027135812528651
6.33,10.23,11.6,3.0,68.2,965,28.1,3.370738174177447
6.45,37.38,99.0,2.0,239.8,297,14.6,2.747270914255491
7.17,22.27,25.9,2.5,89.1,305,20.2,3.054001181677967
6.94,59.2,14.2,3.6,52.2,418,63.4,4.165113633110308
4.2,24.6,39.0,10.7,207.6,1389,170.3,5.143416405330075
7.47,21.01,45.9,2.8,170.1,313,25.2,3.265759410767051
6.14,15.65,57.4,1.9,340.9,387,16.0,2.833213344056216
6.6,12.21,65.5,2.9,238.0,240,21.7,3.122364924487357
4.22,17.34,12.1,3.7,75.4,416,65.8,4.2017030805426
6.32,22.09,25.0,2.5,158.6,287,20.1,3.0492730404820207
5.37,18.51,14.2,4.6,124.9,706,47.6,3.883623530906448
4.23,37.0,28.0,3.9,93.5,841,83.6,4.437934266612178
5.11,172.6,50.7,3.5,203.1,321,19.0,2.995732273553991
6.47,8.94,32.6,2.5,84.0,224,28.1,3.370738174177447
4.89,9.59,13.9,2.1,185.8,341,23.1,3.1822118404966093
6.75,19.08,12.8,2.5,141.9,381,19.9,3.039749158970765
4.49,10.82,12.5,4.6,91.4,959,95.8,4.572646994282532
7.63,12.01,10.8,0.5,144.7,265,3.1,1.410986973710262
6.74,23.51,55.3,2.0,258.3,328,16.1,2.8390784635086144
4.4,8.1,17.5,2.9,97.1,351,52.4,3.977810745966149
5.72,16.53,61.4,1.8,79.5,253,12.5,2.6026896854443837
5.36,21.79,18.6,3.0,91.0,268,25.2,3.265759410767051
7.92,13.46,22.5,0.9,303.2,223,10.3,2.424802725718295
6.9,5.83,52.7,0.7,140.0,216,9.7,2.3702437414678603
4.68,6.95,26.5,2.3,35.8,978,31.8,3.490428515390098
3.83,13.88,57.5,4.0,60.4,447,68.5,4.241326752570746
7.45,20.26,40.0,2.0,174.9,344,23.1,3.1822118404966093
4.01,26.2,75.6,16.4,272.6,550,355.4,5.876053695596654
6.98,32.51,82.9,1.9,134.5,375,12.2,2.580216829592325
5.01,35.07,10.5,4.3,86.3,544,39.8,3.708682081410116
3.85,19.43,44.4,10.6,90.0,552,208.1,5.342812606434588
3.78,27.0,48.4,8.1,117.1,677,164.5,5.1089711948171175
5.79,18.22,17.9,4.9,139.7,571,43.1,3.7864597824528
5.26,16.82,10.0,3.4,146.3,670,39.0,3.6888794541139363
5.57,21.1,57.1,1.6,146.1,463,11.8,2.5494451709255714
6.72,42.42,71.3,21.7,694.9,599,319.2,5.768945800562614
4.0,20.6,33.0,12.9,140.4,479,243.9,5.500849963958122
8.04,11.48,44.7,0.4,45.8,455,4.2,1.6486586255873816
7.28,17.86,42.3,2.4,156.0,431,18.4,2.9652730660692823
5.81,22.0,13.8,2.0,149.7,436,16.3,2.8507065015037334
4.18,24.06,65.3,21.0,193.6,1051,486.2,6.1886747163956874
6.61,72.0,85.1,2.9,495.6,496,23.8,3.2108436531709366
7.64,23.33,30.4,2.6,122.5,439,22.3,3.1484533605716547
7.49,24.2,20.6,2.2,219.7,1026,37.5,3.6506582412937387
5.67,13.08,22.7,4.0,218.9,585,44.1,3.8088822465086327
4.05,16.7,43.2,7.5,117.1,469,118.7,4.784988612563928
6.96,55.5,19.5,4.0,177.4,428,55.9,4.041295341132285
5.64,8.0,18.8,2.5,116.4,670,22.1,3.139832617527748
5.88,25.8,59.2,2.5,340.2,599,22.3,3.1484533605716547
4.63,20.7,33.2,4.7,68.6,834,60.3,4.115779842942166
7.31,25.7,57.4,1.8,187.3,337,14.6,2.747270914255491
5.55,10.08,20.7,3.6,127.5,553,30.8,3.459466289786131
7.6,23.9,31.5,2.0,152.7,391,13.9,2.7013612129514133
7.51,21.0,43.8,1.5,166.4,261,12.9,2.631888840136646
5.97,12.52,47.4,2.1,160.6,511,15.6,2.8094026953624978
7.3,66.98,67.6,3.2,174.9,318,25.7,3.2846635654062037
6.74,29.1,10.1,3.0,385.3,752,34.8,3.5779478934066544
7.64,12.18,36.4,2.5,166.3,447,22.4,3.152736022363656
3.99,13.21,29.7,4.9,91.7,383,71.0,4.276666119016055
5.8,10.43,12.3,2.7,386.8,795,27.7,3.3568971227655755
6.7,18.58,49.8,1.5,182.3,298,12.0,2.5649493574615367
5.84,9.15,15.7,3.3,186.9,803,32.1,3.4995332823830174
7.52,68.3,10.1,9.6,169.0,491,145.4,4.986342601527212
5.71,8.28,11.2,3.1,92.5,696,36.2,3.616308761279101
5.76,9.31,11.5,3.3,96.7,715,29.2,3.407841924380824
7.22,26.72,16.9,4.4,171.4,644,40.3,3.720862499966987
5.89,11.99,14.3,5.8,247.4,670,67.2,4.222444564849416
6.76,13.07,10.0,3.8,112.3,544,35.2,3.5890591188317256
5.78,15.85,18.4,4.2,299.2,601,38.6,3.6788291182604347
6.84,49.2,175.4,4.2,582.4,237,49.9,3.929862923556477
3.78,12.44,31.6,7.0,107.1,719,156.8,5.061328408411774
4.46,36.5,50.6,6.7,231.6,520,84.2,4.44500143383527
6.64,13.93,34.3,2.1,78.2,509,19.2,3.005682604407159
5.56,31.38,31.1,6.3,123.6,1019,67.8,4.231203744939298
5.09,31.53,41.0,4.2,84.2,787,39.5,3.7013019741124933
5.49,39.27,38.4,4.8,115.0,827,38.0,3.6635616461296463
4.46,24.4,45.4,12.2,217.1,1017,205.3,5.329331420077207
4.45,16.23,63.7,11.6,235.3,1391,209.8,5.350909816667207
5.1,30.8,26.4,14.8,167.6,639,227.0,5.429345628954441
4.84,35.7,30.7,6.3,164.8,873,62.0,4.143134726391533
7.25,32.46,24.0,7.1,146.1,448,62.0,4.143134726391533
3.98,13.31,18.4,5.0,99.1,432,80.6,4.401829261970061
5.66,10.94,24.7,3.0,153.4,657,25.6,3.2809112157876537
5.68,25.54,16.6,4.1,81.8,425,33.5,3.5409593240373143
4.21,23.6,26.7,4.6,83.6,1237,62.4,4.14946386144318
5.6,31.39,42.6,3.4,142.6,630,28.0,3.367295829986474
5.33,55.65,42.5,4.7,66.6,916,43.0,3.784189633918261
6.95,42.09,35.8,5.3,321.9,576,49.2,3.9160150266976834
5.21,61.37,19.7,4.6,141.4,885,36.2,3.616308761279101
5.98,83.49,19.3,6.1,152.1,466,50.7,3.9454577815143836
7.41,41.3,10.6,5.4,107.0,484,66.4,4.210645017918261
4.94,49.9,51.6,7.3,246.4,11369,123.8,4.826712455935327
7.61,47.32,51.2,3.3,50.3,806,37.5,3.6506582412937387
4.02,24.4,70.4,4.8,108.4,1268,78.1,4.370712874773608
4.53,27.07,29.7,3.4,104.6,1228,57.4,4.067315889834181
5.65,13.63,10.3,5.7,202.8,1036,74.4,4.32280727501391
4.41,34.8,13.8,4.6,182.4,545,52.3,3.975936331171799
4.47,61.78,41.8,5.5,203.2,1202,61.1,4.128745988939433
7.46,23.9,13.9,3.3,101.4,537,49.6,3.92395157629342
7.47,39.8,10.1,4.0,70.8,672,85.8,4.463606621666305
5.91,129.3,26.3,16.8,268.1,1507,223.6,5.414321042304342
5.36,97.73,74.4,6.3,202.7,1036,58.7,4.089332020398556
4.8,16.86,20.2,6.2,104.9,1362,107.9,4.690430029938915
6.46,55.4,27.3,3.6,49.4,1402,57.4,4.067315889834181
4.03,15.19,32.4,5.1,141.2,1124,98.4,4.599152113662528
5.19,59.2,47.3,7.8,969.9,1258,158.9,5.074548619839908
4.71,12.11,16.6,5.5,102.8,1243,110.3,4.712229258281499
5.04,12.5,36.9,7.5,121.9,1410,116.2,4.763881877142913
6.52,52.7,35.6,14.0,223.7,1234,296.5,5.695414224985685
7.41,37.1,18.6,7.0,224.4,1334,169.7,5.139907629800395
4.61,8.41,23.7,4.3,103.7,11267,65.2,4.192680462942962
7.13,73.5,27.2,12.1,109.5,781,143.5,4.973279507552487
7.15,101.8,22.9,8.9,84.6,1049,141.5,4.959341999708705
6.92,91.2,30.4,9.7,162.1,11104,166.5,5.120983351265121
4.78,9.01,10.9,3.2,66.4,11145,41.4,3.7471483622379123
7.58,28.33,20.1,3.9,44.2,10690,39.8,3.708682081410116
7.56,24.3,18.3,3.5,55.1,10701,67.2,4.222444564849416
5.3,17.68,12.6,7.7,103.1,11392,174.5,5.167639042905921
6.53,21.2,10.5,4.8,60.9,11348,95.5,4.56954300834494
7.17,57.5,23.9,11.3,203.6,824,289.3,5.670914871030584
7.17,40.54,75.3,7.8,78.2,1029,81.6,4.414009680526933
6.71,85.04,46.5,26.2,213.8,1411,278.9,5.634432396521408
5.14,24.0,24.1,5.9,166.2,1074,56.2,4.046553898385752
6.45,49.2,12.1,5.3,66.2,869,45.9,3.8480176754522337
6.59,51.74,16.2,5.8,43.0,1386,50.8,3.9473901492654373
7.04,63.6,49.4,5.8,97.6,1089,121.2,4.805659046737495
4.21,23.07,19.8,5.5,48.5,628,85.5,4.460144413937834
5.14,14.49,17.8,3.8,69.3,1483,54.7,4.019980146933238
6.99,90.7,44.5,11.1,207.5,1001,285.2,5.65669086712235
5.2,63.2,55.4,22.0,366.5,904,494.7,6.205970905026528
7.02,18.46,18.8,4.1,50.6,1058,64.6,4.183575695950044
4.26,17.26,21.1,5.2,88.0,1367,86.2,4.468204330914934
6.41,24.7,12.7,6.5,114.9,1021,134.8,4.911183215124596
4.5,25.3,17.8,4.3,44.4,866,57.4,4.067315889834181
5.65,17.74,23.9,5.1,131.7,719,45.5,3.8394523125933104
6.92,59.12,25.8,8.7,128.4,634,75.7,4.33990170837321
6.38,34.15,13.0,5.7,73.1,477,46.9,3.8691155044168695
5.71,26.7,17.5,5.3,138.8,669,46.6,3.8628327612373745
5.37,75.38,23.4,7.8,96.9,11131,254.7,5.544004882297141
5.67,39.2,41.7,3.2,239.8,1827,53.8,4.00369019395397
5.23,45.6,25.7,6.0,133.8,737,57.4,4.067315889834181
6.85,68.6,10.3,10.1,85.4,1042,182.8,5.213848209921586
4.92,26.2,89.2,19.1,903.4,1102,446.2,6.103005921840889
4.45,22.29,17.5,4.5,84.4,1746,98.2,4.597138014290827
7.35,29.79,10.4,5.0,76.6,442,44.4,3.8155121050473024
5.93,32.15,53.8,5.8,84.5,480,47.7,3.885679030088544
7.38,38.24,40.1,4.1,116.8,501,55.4,4.032469158504013
5.13,16.13,15.2,3.5,123.0,667,27.4,3.3463891451671604
6.64,36.8,12.8,4.3,122.2,569,35.8,3.6054978451748854
5.37,8.98,17.3,3.5,97.3,825,35.2,3.5890591188317256
4.08,8.97,16.3,3.6,87.2,1100,47.5,3.8815637979434374
4.26,9.32,24.3,7.2,172.3,1315,93.3,4.546481189639412
7.3,50.36,250.0,3.0,462.7,46,42.2,3.765840495250065
6.34,7.15,57.5,1.8,223.7,51,20.6,3.0726933146901194
6.23,12.34,74.2,2.0,114.3,64,20.4,3.0633909220278057
4.55,11.79,37.3,1.5,148.6,54,19.8,3.0349529867072724
4.25,9.64,37.1,3.6,67.3,70,54.7,4.019980146933238
3.93,48.5,216.1,13.9,181.2,55,237.3,5.473530384104697
3.82,7.18,135.7,1.6,47.5,74,24.0,3.2188758248682006
5.67,18.09,59.9,2.4,131.7,66,24.1,3.2228678461377385
4.59,15.15,80.8,3.4,55.2,64,46.8,3.86702563949741
5.58,31.1,27.0,2.9,88.6,67,30.2,3.4404180948154366
5.05,8.57,44.8,2.4,130.2,66,26.4,3.3105430133940246
6.69,13.96,117.3,1.4,162.0,74,23.1,3.1822118404966093
7.2,12.43,50.0,1.6,141.8,91,13.7,2.6878474937846906
6.17,11.9,121.0,3.1,54.2,77,34.7,3.5751506887855933
7.2,24.64,97.9,4.7,135.9,80,45.6,3.8416005411316
3.95,8.59,13.3,2.4,54.4,109,41.5,3.7495040759303713
5.49,21.11,162.5,2.1,158.9,91,25.0,3.258096538021482
7.31,20.12,108.9,2.0,202.3,134,17.4,2.91235066461494
6.78,24.47,67.9,1.5,214.5,155,12.7,2.617395832834079
4.6,7.54,37.0,2.1,67.1,141,30.1,3.4372078191851885
4.03,10.94,25.1,4.1,115.9,118,70.2,4.26549281841793
6.91,39.1,193.3,6.0,804.5,61,67.2,4.222444564849416
7.25,28.7,105.5,4.1,131.1,53,38.3,3.6712245188752153
6.84,9.07,121.0,1.3,200.4,52,11.7,2.5416019934645457
6.48,8.65,119.0,1.3,126.2,51,13.3,2.6602595372658615
6.92,28.96,126.4,1.5,264.3,67,11.8,2.5494451709255714
